#,Country,Population 2023,Land Area(km^2),Migrants(net)
1,India,1428627663,2973190,-486136
2,China,1425671352,9388211,-310220
3,United States,339996563,9147420,999700
4,Indonesia,277534122,1811570,-49997
5,Pakistan,240485658,770880,-165988
6,Nigeria,223804632,910770,-59996
7,Brazil,216422446,8358140,6000
8,Bangladesh,172954319,130170,-309977
9,Russia,144444359,16376870,-136414
10,Mexico,128455567,1943950,-50239
11,Ethiopia,126527060,1000000,-11999
12,Japan,123294513,364555,99994
13,Philippines,117337368,298170,-69996
14,Egypt,112716598,995450,-29998
15,DR Congo,102262808,2267050,-14999
16,Vietnam,98858950,310070,-82700
17,Iran,89172767,1628550,-39998
18,Turkey,85816199,769630,-318067
19,Germany,83294633,348560,155751
20,Thailand,71801279,510890,18999
21,United Kingdom,67736802,241930,165790
22,Tanzania,67438106,885800,-39997
23,France,64756584,547557,67761
24,South Africa,60414495,1213090,58496
25,Italy,58870762,294140,58496
26,Kenya,55100586,569140,-10000
27,Myanmar,54577997,653290,-34998
28,Colombia,52085168,1109500,-175051
29,South Korea,51784059,97230,29998
30,Uganda,48582334,199810,-126181
31,Sudan,48109006,1765048,-9999
32,Spain,47519628,498800,39998
33,Argentina,45773884,2736690,3718
34,Algeria,45606480,2381740,-9999
35,Iraq,45504560,434320,-6000
36,Afghanistan,42239854,652860,-65846
37,Poland,41026067,306230,-910475
38,Canada,38781291,9093510,249746
39,Morocco,37840044,446300,-39998
40,Saudi Arabia,36947025,2149690,28998
41,Ukraine,36744634,579320,1784718
42,Angola,36684202,1246700,-1000
43,Uzbekistan,35163944,425400,-19999
44,Yemen,34449825,527970,-29914
45,Peru,34352719,1280000,-61442
46,Malaysia,34308525,328550,48997
47,Ghana,34121985,227540,-9999
48,Mozambique,33897354,786380,-5000
49,Nepal,30896590,143350,-62012
50,Madagascar,30325732,581795,-1500
51,Côte d'Ivoire,28873034,318000,6000
52,Venezuela,28838499,882050,321106
53,Cameroon,28647293,472710,-4800
54,Niger,27202843,1266700,1000
55,Australia,26439111,7682300,139991
56,North Korea,26160821,120410,-2000
57,Taiwan,23923276,35410,23999
58,Mali,23293698,1220190,-39998
59,Burkina Faso,23251485,273600,-24998
60,Syria,23227014,183630,757103
61,Sri Lanka,21893579,62710,-77495
62,Malawi,20931751,94280,-6000
63,Zambia,20569737,743390,-5000
64,Romania,19892812,230170,-254616
65,Chile,19629590,743532,-71205
66,Kazakhstan,19606633,2699700,0
67,Chad,18278568,1259200,-2000
68,Ecuador,18190484,248360,-21525
69,Somalia,18143378,627340,-30000
70,Guatemala,18092026,107160,-9110
71,Senegal,17763163,192530,-19999
72,Netherlands,17618299,33720,29998
73,Cambodia,16944826,176520,-29998
74,Zimbabwe,16665409,386850,-9999
75,Guinea,14190612,245720,-4000
76,Rwanda,14094683,24670,-8999
77,Benin,13712828,112760,-200
78,Burundi,13238559,25680,2000
79,Tunisia,12458223,155360,-4000
80,Bolivia,12388571,1083300,-3000
81,Haiti,11724763,27560,-31811
82,Belgium,11686140,30280,23999
83,Jordan,11337052,88780,-157392
84,Dominican Republic,11332972,48320,-29099
85,Cuba,11194449,106440,-6000
86,South Sudan,11088796,610952,-23291
87,Sweden,10612086,410340,39998
88,Honduras,10593798,111890,-5034
89,Czech Republic (Czechia),10495295,77240,22011
90,Azerbaijan,10412651,82658,0
91,Greece,10341277,128900,5000
92,Papua New Guinea,10329931,452860,-800
93,Portugal,10247605,91590,9999
94,Hungary,10156239,90530,-156677
95,Tajikistan,10143543,139960,-19999
96,United Arab Emirates,9516871,83600,0
97,Belarus,9498238,202910,-4282
98,Israel,9174520,21640,9999
99,Togo,9053799,54390,-2000
100,Austria,8958960,82409,19999
101,Switzerland,8796669,39516,39998
102,Sierra Leone,8791092,72180,-4000
103,Laos,7633779,230800,-9999
104,Hong Kong,7491609,1050,19999
105,Serbia,7149077,87460,-9999
106,Nicaragua,7046310,120340,-8000
107,Libya,6888388,1759540,-2000
108,Paraguay,6861524,397300,-12499
109,Kyrgyzstan,6735347,191800,-9999
110,Bulgaria,6687717,108560,-4800
111,Turkmenistan,6516100,469930,-4000
112,El Salvador,6364943,20720,-23249
113,Congo,6106869,341500,-1000
114,Singapore,6014723,700,26998
115,Denmark,5910913,42430,19999
116,Slovakia,5795199,48088,-112067
117,Central African Republic,5742315,622980,-14716
118,Finland,5545475,303890,13999
119,Norway,5474360,365268,27998
120,Liberia,5418377,96320,-5000
121,State of Palestine,5371230,6020,-5000
122,Lebanon,5353930,10230,-177331
123,New Zealand,5228100,263310,12999
124,Costa Rica,5212173,51060,3750
125,Ireland,5056935,68890,9999
126,Mauritania,4862989,1030700,3000
127,Oman,4644384,309500,0
128,Panama,4468087,74340,7262
129,Kuwait,4310108,17820,11999
130,Croatia,4008617,55960,-2000
131,Eritrea,3748901,101000,-15297
132,Georgia,3728282,69490,-9999
133,Mongolia,3447157,1553560,-850
134,Moldova,3435931,32850,-125204
135,Uruguay,3423108,175020,-1500
136,Puerto Rico,3260314,8870,19835
137,Bosnia and Herzegovina,3210847,51000,-500
138,Albania,2832439,27400,-8000
139,Jamaica,2825544,10830,-10999
140,Armenia,2777970,28470,-5000
141,Gambia,2773168,10120,-3000
142,Lithuania,2718352,62674,-13128
143,Qatar,2716391,11610,0
144,Botswana,2675352,566730,3000
145,Namibia,2604172,823290,-3916
146,Gabon,2436566,257670,1000
147,Lesotho,2330318,30360,-4000
148,Guinea-Bissau,2150842,28120,-1400
149,Slovenia,2119675,20140,2000
150,North Macedonia,2085679,25220,-1000
151,Latvia,1830211,62200,-7630
152,Equatorial Guinea,1714671,28050,4000
153,Trinidad and Tobago,1534937,5130,-800
154,Bahrain,1485509,760,0
155,Timor-Leste,1360596,14870,-5000
156,Estonia,1322765,42390,-1000
157,Mauritius,1300557,2030,0
158,Cyprus,1260138,9240,5000
159,Eswatini,1210822,17200,-5268
160,Djibouti,1136455,23180,900
161,Réunion,981796,2500,-630
162,Fiji,936375,18270,-3289
163,Comoros,852075,1861,-2000
164,Guyana,813834,196850,-3900
165,Bhutan,787424,38117,300
166,Solomon Islands,740424,27990,-1600
167,Macao,704149,30,5000
168,Luxembourg,654768,2590,4883
169,Montenegro,626485,13450,-480
170,Suriname,623236,156000,-1000
171,Cabo Verde,598682,4030,-1227
172,Western Sahara,587259,266000,5600
173,Micronesia,544321,700,-1642
174,Malta,535064,320,850
175,Maldives,521021,300,-8652
176,Brunei ,452524,5270,0
177,Bahamas,412623,10010,1000
178,Belize,410825,22810,600
179,Guadeloupe,395839,1690,-800
180,Iceland,375318,100250,380
181,Martinique,366981,1060,-650
182,Mayotte,335995,375,0
183,Vanuatu,334506,12190,0
184,French Guiana,312155,82200,1200
185,French Polynesia,308872,3660,-100
186,New Caledonia,292991,18280,500
187,Barbados,281995,430,-80
188,Sao Tome & Principe,231856,960,-600
189,Samoa,225681,2830,-1500
190,Curaçao,192077,444,515
191,Saint Lucia,180251,610,0
192,Guam,172952,540,-500
193,Kiribati,133515,810,-400
194,Grenada,126183,340,-200
195,Tonga,107773,720,-800
196,Seychelles,107660,460,-200
197,Aruba,106277,180,157
198,St. Vincent & Grenadines,103698,390,-200
199,U.S. Virgin Islands,98750,350,-450
200,Antigua and Barbuda,94298,440,0
201,Isle of Man,84710,570,340
202,Andorra,80088,470,200
203,Dominica,73040,750,-40
204,Cayman Islands,69310,240,400
205,Bermuda,64069,50,0
206,Greenland,56643,410450,-100
207,Faeroe Islands,53270,1396,0
208,Northern Mariana Islands,49796,460,-50
209,Saint Kitts & Nevis,47755,260,20
210,Turks and Caicos,46062,950,200
211,Sint Maarten,44222,34,0
212,American Samoa,43914,200,-790
213,Marshall Islands,41996,180,0
214,Liechtenstein,39584,160,150
215,Monaco,36297,1,200
216,San Marino,33642,60,100
217,Gibraltar,32688,10,-24
218,Saint Martin,32077,53,0
219,British Virgin Islands,31538,150,200
220,Caribbean Netherlands,27148,328,100
221,Palau,18058,460,-20
222,Cook Islands,17044,240,-93
223,Anguilla,15899,90,0
224,Nauru,12780,20,-140
225,Wallis & Futuna,11502,140,-119
226,Tuvalu,11396,30,-60
227,Saint Barthelemy,10994,21,0
228,Saint Pierre & Miquelon,5840,230,0
229,Saint Helena,5314,390,0
230,Montserrat,4386,100,0
231,Falkland Islands,3791,12170,0
232,Niue,1935,260,0
233,Tokelau,1893,10,0
234,Holy See,518,0,0
